OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Utilities_AllPub,Utilities_NoSeWa,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,KitchenQual_Ex,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,LandSlope_Gtl,LandSlope_Mod,LandSlope_Sev
-0.7951514718918303,-0.47256041823858774,-1.3501938545260046,0.5850361174672026,0.39169673422902695,-0.3835209360189352,-1.0260408358133,-0.934129784145668,-1.02685765142659,-0.8374060280469375,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
-0.07183611428306244,0.7197863525655132,0.44258640359745943,-0.5892748192657035,-0.9409282039705854,0.10572293881838488,0.7897405221108432,0.29676325272497744,0.31172464418307205,-0.4350322248715126,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
-0.7951514718918303,-2.029235369010608,-1.689368497954768,-0.596115465499099,-0.9486910676882531,-1.369623376352522,-1.0260408358133,-1.5495763025809908,-2.365439947036252,-2.2129629830885067,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
-0.7951514718918303,-1.1349752909075328,-1.689368497954768,-0.7443294672226697,-0.4699811384320816,0.4807464537715057,-1.0260408358133,0.29676325272497744,-1.02685765142659,-1.0900593463198789,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
-0.7951514718918303,-1.5655449581423468,-1.689368497954768,-0.07166592093877201,-0.35353818266706694,0.3341636585867834,0.7897405221108432,-0.31868326571034533,-1.02685765142659,-0.7719033159021009,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
-0.7951514718918303,0.02425073626312099,-0.6233910471786543,-0.3726543552081771,-0.6951041862444434,-1.18306345520833,-1.0260408358133,-0.934129784145668,0.31172464418307205,0.3697153814793374,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False
-0.07183611428306244,1.1172352761668802,0.9755751289855163,-0.851499591545867,-1.2385046464811784,0.08478253950628169,0.7897405221108432,-0.31868326571034533,0.31172464418307205,-0.3414569218074603,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
-1.518466829500598,-1.6317864454092414,1.072482169965163,-0.596115465499099,-0.9486910676882531,-0.6881085623767998,-1.0260408358133,0.29676325272497744,-1.02685765142659,-1.0900593463198789,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
-0.07183611428306244,0.32233742896414624,-0.18730936277024413,0.8312993818694432,0.6711598280650621,-0.17792428822737658,0.7897405221108432,0.29676325272497744,0.31172464418307205,0.4820057451562002,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
1.3747946009344731,1.1834767634337746,1.072482169965163,1.0000353222932006,0.8626437997675308,-0.03705251103686418,0.7897405221108432,0.29676325272497744,0.31172464418307205,0.00477169952953333,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False
